% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Conformación de un grupo barrial en territorio 3 de la comuna.,5%,5%,15%,,2.20,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ","Levantamiento de Índice de Movilización Comunitaria, que mide el nivel de preparación de las comunidades donde se implementarán iniciativas",10%,10%,25%,,2.21,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Elaboración de Diagnostico del Índice de Movilización Comunitaria,10%,10%,35%,,2.22,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Elaboración de un Plan de Acción con la comunidad,10%,10%,45%,,2.23,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ","Aplicación de Taller de Estrategias Familiares comunitarias.
Sesión I, II y III",15%,15%,60%,,2.24,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Planificación y/o actualización de actividades preventivas.,5%,5%,65%,,2.25,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Implementación del Plan de Prevención.,10%,10%,75%,,2.26,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Levantamiento del Índice de Movilización Comunitaria posterior a la intervención,10%,10%,85%,,2.27,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Evaluación del Plan de Prevención.,10%,10%,95%,,2.28,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Devolución de resultados,5%,5%,100%,,2.29,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Generar plan de trabajo para la Oficina y Casa de la Juventud,"Implementar un programa y espacios para promover y potenciar el desarrollo integral, la participación y la protección de los jóvenes de la comuna, a través de actividades de apoyo psicosocial, talleres, apoyo escolar, entre otros.",100%,"Algunas de las acciones realizadas durante 2023 son:
- Se conformó el primer Consejo Local de Niñez y Juventud San Joaquín.
- Se realizaron 18 talleres artísticos, deportivos y culturales en los 7 territorios, en los que participaron 470 niños, niñas y jóvenes.
- Se entregaron 2.147 sets de mochilas con útiles escolares en los años académicos 2023 y 2024.
- Se entregaron 506 computadores y 50 tablets a estudiantes de 7° y 8° básico para apoyar su proceso formativo. 
- Se realizaron 42 jornadas de verano en tu barrio, y se celebró el día de la niñez con 5.000 asistentes, además de diversas actividades recreativas, culturales y deportivas. 
- Respecto al área de protección se recibieron 26 casos asociados a vulneración de derechos.",Diagnóstico de las principales necesidades de los jóvenes de la comuna,10%,10%,10%,1,2.30,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Generar plan de trabajo para la Oficina y Casa de la Juventud,"Implementar un programa y espacios para promover y potenciar el desarrollo integral, la participación y la protección de los jóvenes de la comuna, a través de actividades de apoyo psicosocial, talleres, apoyo escolar, entre otros.",100%,"Algunas de las acciones realizadas durante 2023 son:
- Se conformó el primer Consejo Local de Niñez y Juventud San Joaquín.
- Se realizaron 18 talleres artísticos, deportivos y culturales en los 7 territorios, en los que participaron 470 niños, niñas y jóvenes.
- Se entregaron 2.147 sets de mochilas con útiles escolares en los años académicos 2023 y 2024.
- Se entregaron 506 computadores y 50 tablets a estudiantes de 7° y 8° básico para apoyar su proceso formativo. 
- Se realizaron 42 jornadas de verano en tu barrio, y se celebró el día de la niñez con 5.000 asistentes, además de diversas actividades recreativas, culturales y deportivas. 
- Respecto al área de protección se recibieron 26 casos asociados a vulneración de derechos.",Elaboración de programa y plan de trabajo para la Oficina y la Casa de la Juventud,10%,10%,20%,,2.31,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Generar plan de trabajo para la Oficina y Casa de la Juventud,"Implementar un programa y espacios para promover y potenciar el desarrollo integral, la participación y la protección de los jóvenes de la comuna, a través de actividades de apoyo psicosocial, talleres, apoyo escolar, entre otros.",100%,"Algunas de las acciones realizadas durante 2023 son:
- Se conformó el primer Consejo Local de Niñez y Juventud San Joaquín.
- Se realizaron 18 talleres artísticos, deportivos y culturales en los 7 territorios, en los que participaron 470 niños, niñas y jóvenes.
- Se entregaron 2.147 sets de mochilas con útiles escolares en los años académicos 2023 y 2024.
- Se entregaron 506 computadores y 50 tablets a estudiantes de 7° y 8° básico para apoyar su proceso formativo. 
- Se realizaron 42 jornadas de verano en tu barrio, y se celebró el día de la niñez con 5.000 asistentes, además de diversas actividades recreativas, culturales y deportivas. 
- Respecto al área de protección se recibieron 26 casos asociados a vulneración de derechos.",Contratación de personal,10%,10%,30%,,2.32,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Generar plan de trabajo para la Oficina y Casa de la Juventud,"Implementar un programa y espacios para promover y potenciar el desarrollo integral, la participación y la protección de los jóvenes de la comuna, a través de actividades de apoyo psicosocial, talleres, apoyo escolar, entre otros.",100%,"Algunas de las acciones realizadas durante 2023 son:
- Se conformó el primer Consejo Local de Niñez y Juventud San Joaquín.
- Se realizaron 18 talleres artísticos, deportivos y culturales en los 7 territorios, en los que participaron 470 niños, niñas y jóvenes.
- Se entregaron 2.147 sets de mochilas con útiles escolares en los años académicos 2023 y 2024.
- Se entregaron 506 computadores y 50 tablets a estudiantes de 7° y 8° básico para apoyar su proceso formativo. 
- Se realizaron 42 jornadas de verano en tu barrio, y se celebró el día de la niñez con 5.000 asistentes, además de diversas actividades recreativas, culturales y deportivas. 
- Respecto al área de protección se recibieron 26 casos asociados a vulneración de derechos.",Difusión de las actividades y servicios de la Oficina y la Casa de la Juventud,10%,10%,40%,,2.33,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Generar plan de trabajo para la Oficina y Casa de la Juventud,"Implementar un programa y espacios para promover y potenciar el desarrollo integral, la participación y la protección de los jóvenes de la comuna, a través de actividades de apoyo psicosocial, talleres, apoyo escolar, entre otros.",100%,"Algunas de las acciones realizadas durante 2023 son:
- Se conformó el primer Consejo Local de Niñez y Juventud San Joaquín.
- Se realizaron 18 talleres artísticos, deportivos y culturales en los 7 territorios, en los que participaron 470 niños, niñas y jóvenes.
- Se entregaron 2.147 sets de mochilas con útiles escolares en los años académicos 2023 y 2024.
- Se entregaron 506 computadores y 50 tablets a estudiantes de 7° y 8° básico para apoyar su proceso formativo. 
- Se realizaron 42 jornadas de verano en tu barrio, y se celebró el día de la niñez con 5.000 asistentes, además de diversas actividades recreativas, culturales y deportivas. 
- Respecto al área de protección se recibieron 26 casos asociados a vulneración de derechos.",Coordinación con organizaciones territoriales e instituciones externas para el desarrollo de actividades,10%,10%,50%,,2.34,2,revisar,,
